year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,5,DL,Delta Air Lines Network,ABQ,"Albuquerque, NM: Albuquerque International Sunport",112.00,38.00,18.30,0.60,14.87,0.00,4.23,0.00,0.00,1771.00,972.00,26.00,541.00,0.00,232.00
2025,5,DL,Delta Air Lines Network,AGS,"Augusta, GA: Augusta Regional at Bush Field",2.00,2.00,0.00,0.00,1.07,0.00,0.93,0.00,0.00,156.00,0.00,0.00,68.00,0.00,88.00
2025,5,DL,Delta Air Lines Network,ALB,"Albany, NY: Albany International",117.00,43.00,18.01,1.14,7.16,0.00,16.70,0.00,1.00,2838.00,1016.00,186.00,434.00,0.00,1202.00
2025,5,DL,Delta Air Lines Network,ANC,"Anchorage, AK: Ted Stevens Anchorage International",227.00,37.00,23.34,0.00,7.91,0.00,5.75,0.00,0.00,3171.00,2501.00,0.00,257.00,0.00,413.00
2025,5,DL,Delta Air Lines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20718.00,4122.00,1005.31,143.27,1103.82,2.09,1867.51,35.00,61.00,309281.00,110579.00,16175.00,54281.00,298.00,127948.00
2025,5,DL,Delta Air Lines Network,ATW,"Appleton, WI: Appleton International",31.00,9.00,2.75,2.15,1.49,0.00,2.61,0.00,0.00,785.00,308.00,289.00,75.00,0.00,113.00
2025,5,DL,Delta Air Lines Network,AUS,"Austin, TX: Austin - Bergstrom International",1069.00,389.00,88.08,5.16,222.66,0.00,73.09,2.00,6.00,23971.00,7495.00,790.00,10209.00,0.00,5477.00
2025,5,DL,Delta Air Lines Network,AVL,"Asheville, NC: Asheville Regional",123.00,27.00,12.56,0.71,3.16,0.00,10.57,0.00,1.00,1599.00,603.00,39.00,202.00,0.00,755.00
2025,5,DL,Delta Air Lines Network,BDL,"Hartford, CT: Bradley International",391.00,92.00,44.42,3.19,17.49,0.00,26.91,0.00,0.00,5385.00,2562.00,346.00,813.00,0.00,1664.00
2025,5,DL,Delta Air Lines Network,BGR,"Bangor, ME: Bangor International",2.00,1.00,0.27,0.00,0.73,0.00,0.00,0.00,0.00,52.00,14.00,0.00,38.00,0.00,0.00
2025,5,DL,Delta Air Lines Network,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",260.00,63.00,33.17,2.60,8.75,0.00,18.48,0.00,1.00,4156.00,1872.00,890.00,377.00,0.00,1017.00
2025,5,DL,Delta Air Lines Network,BIL,"Billings, MT: Billings Logan International",62.00,17.00,9.01,0.00,0.59,0.00,7.40,0.00,0.00,1082.00,568.00,0.00,46.00,0.00,468.00
2025,5,DL,Delta Air Lines Network,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",58.00,18.00,10.62,0.00,1.33,0.00,6.04,0.00,0.00,1258.00,682.00,0.00,52.00,0.00,524.00
2025,5,DL,Delta Air Lines Network,BNA,"Nashville, TN: Nashville International",810.00,156.00,70.86,3.43,49.93,0.00,31.78,1.00,5.00,8460.00,4606.00,260.00,1994.00,0.00,1600.00
2025,5,DL,Delta Air Lines Network,BOI,"Boise, ID: Boise Air Terminal",254.00,38.00,27.55,0.67,3.81,0.00,5.97,0.00,0.00,2577.00,1908.00,53.00,140.00,0.00,476.00
2025,5,DL,Delta Air Lines Network,BOS,"Boston, MA: Logan International",2274.00,721.00,166.38,22.97,339.99,1.00,190.66,10.00,4.00,52625.00,17046.00,2397.00,17690.00,188.00,15304.00
2025,5,DL,Delta Air Lines Network,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",66.00,14.00,5.91,0.40,1.06,0.00,6.62,0.00,0.00,955.00,471.00,17.00,60.00,0.00,407.00
2025,5,DL,Delta Air Lines Network,BTV,"Burlington, VT: Burlington International",31.00,8.00,4.21,0.00,1.68,0.00,2.11,0.00,0.00,416.00,191.00,0.00,132.00,0.00,93.00
2025,5,DL,Delta Air Lines Network,BUF,"Buffalo, NY: Buffalo Niagara International",167.00,30.00,13.61,0.96,5.01,0.00,10.42,0.00,0.00,1951.00,986.00,89.00,250.00,0.00,626.00
2025,5,DL,Delta Air Lines Network,BUR,"Burbank, CA: Bob Hope",68.00,25.00,9.97,0.36,7.40,0.00,7.26,0.00,0.00,1782.00,1140.00,44.00,343.00,0.00,255.00
2025,5,DL,Delta Air Lines Network,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",486.00,105.00,53.18,2.87,25.35,0.00,23.60,0.00,2.00,5845.00,2779.00,181.00,1359.00,0.00,1526.00
2025,5,DL,Delta Air Lines Network,BZN,"Bozeman, MT: Bozeman Yellowstone International",130.00,19.00,14.04,0.00,1.27,0.00,3.69,0.00,0.00,940.00,694.00,0.00,57.00,0.00,189.00
2025,5,DL,Delta Air Lines Network,CAE,"Columbia, SC: Columbia Metropolitan",119.00,31.00,15.06,0.68,6.68,0.00,8.59,0.00,0.00,2029.00,957.00,59.00,412.00,0.00,601.00
2025,5,DL,Delta Air Lines Network,CHA,"Chattanooga, TN: Lovell Field",65.00,20.00,9.53,1.12,3.91,0.00,5.44,0.00,0.00,1056.00,496.00,78.00,122.00,0.00,360.00
2025,5,DL,Delta Air Lines Network,CHO,"Charlottesville, VA: Charlottesville Albemarle",20.00,6.00,4.88,0.00,0.45,0.00,0.67,0.00,0.00,259.00,232.00,0.00,15.00,0.00,12.00
2025,5,DL,Delta Air Lines Network,CHS,"Charleston, SC: Charleston AFB/International",393.00,99.00,42.01,2.16,32.76,0.00,22.08,2.00,0.00,5803.00,3334.00,102.00,1314.00,0.00,1053.00
2025,5,DL,Delta Air Lines Network,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",31.00,9.00,3.58,1.00,3.00,0.00,1.42,0.00,0.00,315.00,129.00,37.00,58.00,0.00,91.00
2025,5,DL,Delta Air Lines Network,CLE,"Cleveland, OH: Cleveland-Hopkins International",380.00,99.00,49.56,1.57,25.56,0.00,22.31,0.00,0.00,6769.00,4307.00,117.00,955.00,0.00,1390.00
2025,5,DL,Delta Air Lines Network,CLT,"Charlotte, NC: Charlotte Douglas International",591.00,134.00,54.09,0.38,35.31,0.00,44.22,0.00,2.00,8833.00,3996.00,37.00,1788.00,0.00,3012.00
2025,5,DL,Delta Air Lines Network,CMH,"Columbus, OH: John Glenn Columbus International",360.00,90.00,43.22,2.06,22.53,0.00,22.19,0.00,0.00,5094.00,2443.00,182.00,822.00,0.00,1647.00
2025,5,DL,Delta Air Lines Network,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",47.00,8.00,2.94,0.00,4.44,0.00,0.62,0.00,0.00,366.00,182.00,0.00,136.00,0.00,48.00
2025,5,DL,Delta Air Lines Network,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",644.00,143.00,56.68,7.02,34.48,0.00,44.81,0.00,0.00,10152.00,4769.00,1338.00,1399.00,0.00,2646.00
2025,5,DL,Delta Air Lines Network,DAB,"Daytona Beach, FL: Daytona Beach International",149.00,32.00,14.27,0.77,8.36,0.00,8.60,0.00,2.00,2172.00,1051.00,117.00,513.00,0.00,491.00
2025,5,DL,Delta Air Lines Network,DAL,"Dallas, TX: Dallas Love Field",166.00,51.00,22.95,1.45,12.11,0.00,14.49,1.00,2.00,2793.00,1362.00,147.00,523.00,0.00,761.00
2025,5,DL,Delta Air Lines Network,DAY,"Dayton, OH: James M Cox/Dayton International",118.00,26.00,12.22,1.25,5.53,0.00,7.01,0.00,0.00,1500.00,726.00,78.00,209.00,0.00,487.00
2025,5,DL,Delta Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",809.00,254.00,85.92,6.96,130.03,0.00,31.10,4.00,9.00,16742.00,5913.00,336.00,7369.00,0.00,3124.00
2025,5,DL,Delta Air Lines Network,DEN,"Denver, CO: Denver International",1022.00,319.00,90.90,2.61,169.79,0.00,55.70,2.00,5.00,20350.00,6014.00,204.00,10169.00,0.00,3963.00
2025,5,DL,Delta Air Lines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1052.00,344.00,102.67,3.78,164.06,0.90,72.59,7.00,17.00,26071.00,9126.00,1145.00,10398.00,37.00,5365.00
2025,5,DL,Delta Air Lines Network,DSM,"Des Moines, IA: Des Moines International",118.00,30.00,12.10,1.79,5.35,0.00,10.77,0.00,0.00,1611.00,629.00,215.00,167.00,0.00,600.00
2025,5,DL,Delta Air Lines Network,DTW,"Detroit, MI: Detroit Metro Wayne County",5267.00,965.00,295.50,30.26,239.45,1.39,398.40,6.00,2.00,71815.00,28610.00,3484.00,9101.00,117.00,30503.00
2025,5,DL,Delta Air Lines Network,ECP,"Panama City, FL: Northwest Florida Beaches International",203.00,52.00,23.83,0.31,11.72,0.00,16.13,1.00,0.00,2729.00,1333.00,62.00,399.00,0.00,935.00
2025,5,DL,Delta Air Lines Network,ELP,"El Paso, TX: El Paso International",62.00,16.00,5.77,0.12,7.12,0.00,2.99,0.00,0.00,868.00,394.00,9.00,372.00,0.00,93.00
2025,5,DL,Delta Air Lines Network,EWR,"Newark, NJ: Newark Liberty International",537.00,331.00,45.73,3.76,258.11,0.00,23.40,10.00,1.00,34694.00,3731.00,345.00,28823.00,0.00,1795.00
2025,5,DL,Delta Air Lines Network,EYW,"Key West, FL: Key West International",126.00,25.00,9.45,0.06,10.50,0.00,4.99,0.00,0.00,1294.00,535.00,4.00,494.00,0.00,261.00
2025,5,DL,Delta Air Lines Network,FAI,"Fairbanks, AK: Fairbanks International",31.00,13.00,4.79,0.00,2.15,0.00,6.06,1.00,0.00,801.00,342.00,0.00,122.00,0.00,337.00
2025,5,DL,Delta Air Lines Network,FAR,"Fargo, ND: Hector International",62.00,12.00,4.84,0.00,0.39,0.00,6.77,1.00,0.00,1171.00,810.00,0.00,65.00,0.00,296.00
2025,5,DL,Delta Air Lines Network,FAT,"Fresno, CA: Fresno Yosemite International",31.00,12.00,6.07,0.00,5.11,0.00,0.82,0.00,0.00,1140.00,962.00,0.00,133.00,0.00,45.00
2025,5,DL,Delta Air Lines Network,FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field",13.00,8.00,4.92,0.00,0.00,0.00,3.08,0.00,0.00,380.00,246.00,0.00,0.00,0.00,134.00
2025,5,DL,Delta Air Lines Network,FCA,"Kalispell, MT: Glacier Park International",62.00,5.00,4.00,0.00,1.00,0.00,0.00,0.00,2.00,188.00,169.00,0.00,19.00,0.00,0.00
2025,5,DL,Delta Air Lines Network,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1076.00,261.00,84.46,5.27,103.95,0.00,67.32,3.00,3.00,15787.00,6163.00,574.00,4410.00,0.00,4640.00
