year,month,carrier_code,carrier_name,airport_code,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,5,DL,Delta Air Lines Network,BGR,"Bangor, ME: Bangor International",2,1,0.27,0,0.73,0,0,0,0,52,14,0,38,0,0
2025,5,DL,Delta Air Lines Network,HRL,"Harlingen/San Benito, TX: Valley International",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,5,DL,Delta Air Lines Network,PSP,"Palm Springs, CA: Palm Springs International",24,5,0,0,5,0,0,0,0,125,0,0,125,0,0
2025,5,DL,Delta Air Lines Network,RAP,"Rapid City, SD: Rapid City Regional",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,5,DL,Delta Air Lines Network,STX,"Christiansted, VI: Henry E. Rohlsen",5,3,1.63,0,1.37,0,0,0,0,167,104,0,63,0,0
2025,5,DL,Delta Air Lines Network,XNA,"Fayetteville, AR: Northwest Arkansas National",7,5,1.74,0,3.26,0,0,0,0,193,134,0,59,0,0
2025,4,DL,Delta Air Lines Network,FAI,"Fairbanks, AK: Fairbanks International",30,3,1,0,2,0,0,0,0,115,77,0,38,0,0
2025,4,DL,Delta Air Lines Network,PSC,"Pasco/Kennewick/Richland, WA: Tri Cities",30,2,1.56,0,0.44,0,0,0,0,74,67,0,7,0,0
2025,4,DL,Delta Air Lines Network,STX,"Christiansted, VI: Henry E. Rohlsen",14,5,0.86,0,4.14,0,0,0,0,156,18,0,138,0,0
2025,3,DL,Delta Air Lines Network,MOB,"Mobile, AL: Mobile Regional",2,1,0.84,0,0.16,0,0,0,0,55,46,0,9,0,0
2025,3,DL,Delta Air Lines Network,MTJ,"Montrose/Delta, CO: Montrose Regional",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,3,DL,Delta Air Lines Network,OAK,"Oakland, CA: Metro Oakland International",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,3,DL,Delta Air Lines Network,PSC,"Pasco/Kennewick/Richland, WA: Tri Cities",24,2,0.9,0,1.1,0,0,0,0,48,26,0,22,0,0
2025,3,DL,Delta Air Lines Network,STX,"Christiansted, VI: Henry E. Rohlsen",26,5,3.39,0,1.61,0,0,0,0,217,182,0,35,0,0
2025,2,DL,Delta Air Lines Network,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",28,5,1.57,0,3.43,0,0,0,0,188,74,0,114,0,0
2025,2,DL,Delta Air Lines Network,FAT,"Fresno, CA: Fresno Yosemite International",18,2,1.85,0,0.15,0,0,0,0,138,130,0,8,0,0
2025,2,DL,Delta Air Lines Network,HRL,"Harlingen/San Benito, TX: Valley International",18,2,0.43,0,1.57,0,0,0,0,43,10,0,33,0,0
2025,2,DL,Delta Air Lines Network,MOB,"Mobile, AL: Mobile Regional",4,1,1,0,0,0,0,0,0,66,66,0,0,0,0
2025,1,DL,Delta Air Lines Network,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",19,3,1.78,0,1.22,0,0,0,0,214,160,0,54,0,0
2025,1,DL,Delta Air Lines Network,PSC,"Pasco/Kennewick/Richland, WA: Tri Cities",4,1,1,0,0,0,0,0,0,85,85,0,0,0,0
2025,1,DL,Delta Air Lines Network,TVC,"Traverse City, MI: Cherry Capital",31,3,2,0,1,0,0,0,0,236,189,0,47,0,0
2024,12,DL,Delta Air Lines Network,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",33,4,2.59,0,1.41,0,0,0,0,156,114,0,42,0,0
2024,12,DL,Delta Air Lines Network,FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field",35,3,2,0,1,0,0,0,0,71,55,0,16,0,0
2024,12,DL,Delta Air Lines Network,HRL,"Harlingen/San Benito, TX: Valley International",26,2,1,0,1,0,0,0,0,112,53,0,59,0,0
2024,12,DL,Delta Air Lines Network,SGF,"Springfield, MO: Springfield-Branson National",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,12,DL,Delta Air Lines Network,TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities",10,1,1,0,0,0,0,0,0,22,22,0,0,0,0
2024,12,DL,Delta Air Lines Network,XNA,"Fayetteville, AR: Northwest Arkansas National",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,11,DL,Delta Air Lines Network,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",38,2,2,0,0,0,0,0,0,63,63,0,0,0,0
2024,11,DL,Delta Air Lines Network,BTV,"Burlington, VT: Burlington International",30,3,1,0,2,0,0,0,0,67,34,0,33,0,0
2024,11,DL,Delta Air Lines Network,BZN,"Bozeman, MT: Bozeman Yellowstone International",122,12,9.22,0,2.78,0,0,0,0,1127,1042,0,85,0,0
2024,11,DL,Delta Air Lines Network,CHO,"Charlottesville, VA: Charlottesville Albemarle",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,11,DL,Delta Air Lines Network,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",31,2,1,0,1,0,0,0,0,40,16,0,24,0,0
2024,11,DL,Delta Air Lines Network,FAR,"Fargo, ND: Hector International",58,5,3,0,2,0,0,0,0,129,77,0,52,0,0
2024,11,DL,Delta Air Lines Network,FAT,"Fresno, CA: Fresno Yosemite International",28,7,1.5,0,5.5,0,0,0,0,234,53,0,181,0,0
2024,11,DL,Delta Air Lines Network,GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",103,2,0.53,0,1.47,0,0,0,0,49,8,0,41,0,0
2024,11,DL,Delta Air Lines Network,HPN,"White Plains, NY: Westchester County",58,5,3,0,2,0,0,0,0,271,219,0,52,0,0
2024,11,DL,Delta Air Lines Network,HRL,"Harlingen/San Benito, TX: Valley International",30,1,0.78,0,0.22,0,0,0,0,46,36,0,10,0,0
2024,11,DL,Delta Air Lines Network,IDA,"Idaho Falls, ID: Idaho Falls Regional",35,2,0.84,0,1.16,0,0,0,0,68,32,0,36,0,0
2024,11,DL,Delta Air Lines Network,JNU,"Juneau, AK: Juneau International",4,1,0,0,1,0,0,0,0,25,0,0,25,0,0
2024,11,DL,Delta Air Lines Network,PSP,"Palm Springs, CA: Palm Springs International",49,6,2.81,0,3.19,0,0,0,0,242,154,0,88,0,0
2024,11,DL,Delta Air Lines Network,RNO,"Reno, NV: Reno/Tahoe International",83,9,5.64,0,3.36,0,0,0,0,356,268,0,88,0,0
2024,11,DL,Delta Air Lines Network,ROA,"Roanoke, VA: Roanoke Blacksburg Regional",37,2,1.39,0,0.61,0,0,0,0,41,29,0,12,0,0
2024,11,DL,Delta Air Lines Network,SGF,"Springfield, MO: Springfield-Branson National",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,11,DL,Delta Air Lines Network,STX,"Christiansted, VI: Henry E. Rohlsen",4,2,0.88,0,1.12,0,0,0,0,41,22,0,19,0,0
2024,11,DL,Delta Air Lines Network,XNA,"Fayetteville, AR: Northwest Arkansas National",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,10,DL,Delta Air Lines Network,ATW,"Appleton, WI: Appleton International",31,1,1,0,0,0,0,0,0,84,84,0,0,0,0
2024,10,DL,Delta Air Lines Network,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",59,1,1,0,0,0,0,0,0,63,63,0,0,0,0
2024,10,DL,Delta Air Lines Network,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",51,9,7.96,0,1.04,0,0,0,0,348,321,0,27,0,0
