year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,5,UA,United Air Lines Network,ABQ,"Albuquerque, NM: Albuquerque International Sunport",134.00,33.00,7.34,0.50,8.89,0.00,16.28,1.00,0.00,2489.00,565.00,38.00,305.00,0.00,1581.00
2025,5,UA,United Air Lines Network,ALB,"Albany, NY: Albany International",56.00,14.00,4.90,0.00,4.98,0.00,4.12,0.00,0.00,862.00,416.00,0.00,129.00,0.00,317.00
2025,5,UA,United Air Lines Network,ANC,"Anchorage, AK: Ted Stevens Anchorage International",143.00,14.00,2.79,0.44,1.73,0.00,9.03,0.00,2.00,804.00,84.00,8.00,56.00,0.00,656.00
2025,5,UA,United Air Lines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",596.00,160.00,42.05,4.09,66.30,0.00,47.56,5.00,2.00,10724.00,2774.00,445.00,3264.00,0.00,4241.00
2025,5,UA,United Air Lines Network,AUS,"Austin, TX: Austin - Bergstrom International",912.00,242.00,62.54,10.83,100.35,0.00,68.27,14.00,2.00,17217.00,4070.00,813.00,5467.00,0.00,6867.00
2025,5,UA,United Air Lines Network,AVL,"Asheville, NC: Asheville Regional",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025,5,UA,United Air Lines Network,BDL,"Hartford, CT: Bradley International",236.00,68.00,26.63,2.93,22.83,0.00,15.60,1.00,0.00,3887.00,1487.00,354.00,875.00,0.00,1171.00
2025,5,UA,United Air Lines Network,BIL,"Billings, MT: Billings Logan International",62.00,22.00,5.39,0.61,0.57,0.00,15.43,0.00,0.00,1885.00,553.00,14.00,50.00,0.00,1268.00
2025,5,UA,United Air Lines Network,BNA,"Nashville, TN: Nashville International",619.00,154.00,40.40,6.82,60.83,0.00,45.94,6.00,3.00,9893.00,2409.00,776.00,2877.00,0.00,3831.00
2025,5,UA,United Air Lines Network,BOI,"Boise, ID: Boise Air Terminal",144.00,41.00,14.69,4.86,5.09,0.00,16.36,0.00,0.00,2460.00,775.00,255.00,220.00,0.00,1210.00
2025,5,UA,United Air Lines Network,BOS,"Boston, MA: Logan International",1119.00,359.00,55.50,17.80,214.99,0.00,70.71,10.00,2.00,24653.00,3803.00,1569.00,12361.00,0.00,6920.00
2025,5,UA,United Air Lines Network,BQN,"Aguadilla, PR: Rafael Hernandez",31.00,7.00,2.30,0.00,2.46,0.00,2.24,0.00,0.00,281.00,76.00,0.00,106.00,0.00,99.00
2025,5,UA,United Air Lines Network,BTV,"Burlington, VT: Burlington International",71.00,22.00,3.58,0.14,6.43,0.00,11.86,0.00,0.00,1595.00,397.00,27.00,362.00,0.00,809.00
2025,5,UA,United Air Lines Network,BUF,"Buffalo, NY: Buffalo Niagara International",93.00,35.00,8.03,0.99,6.95,0.00,19.02,1.00,0.00,2670.00,779.00,80.00,192.00,0.00,1619.00
2025,5,UA,United Air Lines Network,BUR,"Burbank, CA: Bob Hope",224.00,52.00,17.11,2.88,10.65,0.00,21.36,2.00,0.00,2982.00,790.00,159.00,389.00,0.00,1644.00
2025,5,UA,United Air Lines Network,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",357.00,72.00,11.86,4.60,32.30,0.00,23.24,1.00,1.00,3687.00,700.00,491.00,1207.00,0.00,1289.00
2025,5,UA,United Air Lines Network,BZN,"Bozeman, MT: Bozeman Yellowstone International",192.00,32.00,11.81,2.63,2.84,0.00,14.73,2.00,0.00,2302.00,519.00,301.00,78.00,0.00,1404.00
