"airport_code","airport_name","on_time_percentage"
"EVV","Evansville, IN: Evansville Regional",96
"SPN","Saipan, TT: Francisco C. Ada Saipan International",95.48
"HRL","Harlingen/San Benito, TX: Valley International",90.76
"TRI","Bristol/Johnson City/Kingsport, TN: Tri Cities",89.19
"SBN","South Bend, IN: South Bend International",88.89
"LIH","Lihue, HI: Lihue Airport",88.38
"OAJ","Jacksonville/Camp Lejeune, NC: Albert J Ellis",88.3
"OGG","Kahului, HI: Kahului Airport",87.83
"GUM","Guam, TT: Guam International",87.78
"DAY","Dayton, OH: James M Cox/Dayton International",86.64
